"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://anhart.ca/_next/static/chunks/3da0920375273b0a.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.236","Tue, 02 Dec 2025 14:36:02 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/3da0920375273b0a.js","2025-12-02 11:34:54"
"https://anhart.ca/_next/static/chunks/0356fd37c83de0ae.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.226","Tue, 02 Dec 2025 00:15:11 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/0356fd37c83de0ae.js","2025-12-02 11:34:54"
"https://anhart.ca/_next/static/media/Trusted-Partners-320x180.d58a8dc6.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","12312","12312","12312","4.716","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.331","Tue, 02 Dec 2025 19:34:53 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/Trusted-Partners-320x180.d58a8dc6.webp","2025-12-02 11:34:54"
"https://anhart.ca/_next/static/media/communityChampions-320x180.9c883306.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","27046","27046","27046","10.361","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.309","Tue, 02 Dec 2025 19:34:53 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/communityChampions-320x180.9c883306.webp","2025-12-02 11:34:54"
"https://anhart.ca/_next/static/media/anhart-logo-white.f813ccf5.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","34944","34944","34944","13.386","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.290","Tue, 02 Dec 2025 19:34:54 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/anhart-logo-white.f813ccf5.png","2025-12-02 11:34:54"
"https://anhart.ca/contact","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Contact Us | Anhart","19","173","Get in touch with Anhart. Contact us for inquiries about affordable housing solutions, partnerships, or investment opportunities.","129","789","","0","Connect With Us Today","21","Connect With Us Today","21","","0","","","","","https://anhart.ca/","","","","","","60138","10366","10366","3.971","","117","41","2.854","83.185","Easy","3.737","1","0","","35","14","0","100.000","16","8","0","13","5","0","","","","","8df7dce3e188cceb9b69c0a158ce481e","0.269","","","","","en-CA","1.1","","","","","","https://anhart.ca/contact","2025-12-02 11:34:54"
"https://anhart.ca/_next/static/chunks/1ca95f4e39100dd6.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.080","Tue, 02 Dec 2025 14:36:02 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/chunks/1ca95f4e39100dd6.js","2025-12-02 11:34:55"
"https://anhart.ca/media","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","News & Media | Anhart","21","202","Stay updated with the latest news, media coverage, and press releases about Anhart's affordable housing projects and community impact across Canada.","148","951","","0","Latest News and Media Coverage","30","Featured Promotional Video","26","Document Library","16","","","","","https://anhart.ca/","","","","","","96246","13191","13191","5.053","","533","125","4.264","55.846","Fairly Hard","5.321","1","0","","28","14","0","100.000","16","8","0","15","7","0","","","","","790fa12347430257bc6c1806796d5891","0.271","","","","","en-CA","1.1","","","","","","https://anhart.ca/media","2025-12-02 11:34:55"
"https://anhart.ca/_next/static/media/anhart-logo.a45a2cf2.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","1347499","1347499","1347499","516.201","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.350","Tue, 02 Dec 2025 19:34:54 GMT","","","","","1.1","","","","","","https://anhart.ca/_next/static/media/anhart-logo.a45a2cf2.png","2025-12-02 11:34:55"
"https://anhart.ca/limited-partnership","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Limited Partnership | Anhart","28","252","Limited Partnership page - Access and manage your content","57","373","","0","Impact Investing","16","Limited Partnership Investment","30","","0","","","","","https://anhart.ca/","","","","","","106975","16338","16338","6.259","","1352","270","5.007","37.809","Hard","10.470","1","0","","28","14","0","100.000","16","8","0","13","5","0","","","","","27ecba3750e09c38146bd72b48295670","0.286","","","","","en-CA","1.1","","","","","","https://anhart.ca/limited-partnership","2025-12-02 11:34:55"
